Order_ID,Order_Date,Customer_ID,Product,Category,Region,Customer_Segment,Sales_Channel,Payment_Method,Quantity,Unit_Price,Discount_Percent,Sales,Cost,Profit
ORD0460,14-02-2023,CUST1190,Backpack,Accessories,South,Small Business,Online,UPI,6,1750.49,10,9452.65,6162.25,3290.4
ORD0055,18-02-2023,CUST1156,Backpack,Accessories,West,Small Business,Online,Credit Card,6,1847.72,15,9423.37,5982.83,3440.54
ORD0159,18-02-2023,CUST1046,Pen Set,Office Supplies,North,Small Business,Online,Credit Card,8,247.95,10,1785.24,1017.7,767.54
ORD0259,20-02-2023,CUST1041,Smartphone,Electronics,Central,Corporate,Online,Debit Card,2,21027.04,0,42054.08,30060.42,11993.66
ORD0494,21-02-2023,CUST1144,Desk,Furniture,North,Consumer,Distributor,UPI,2,12353.87,5,23472.35,14839.65,8632.7
ORD0555,28-02-2023,CUST1132,Laptop,Electronics,East,Consumer,Online,Net Banking,2,55209.28,2,108210.19,75171.73,33038.46
ORD0069,03-03-2023,CUST1017,Laptop,Electronics,Central,Consumer,Online,Net Banking,5,52122.35,5,247581.16,172950.42,74630.74
ORD0253,03-03-2023,CUST1223,Tablet,Electronics,North,Corporate,Online,Cash,8,17069.76,5,129730.18,95735.24,33994.94
ORD0121,04-03-2023,CUST1221,Desk,Furniture,East,Consumer,Online,Credit Card,1,12292.84,15,10448.91,7100.15,3348.76
ORD0422,04-03-2023,CUST1036,Pen Set,Office Supplies,Central,Consumer,Distributor,UPI,8,258.6,15,1758.48,1036.37,722.11
ORD0325,06-03-2023,CUST1048,Pen Set,Office Supplies,Central,Corporate,Online,Cash,8,268.28,10,1931.62,1136.03,795.59
ORD0415,07-03-2023,CUST1094,Notebook Pack,Office Supplies,East,Corporate,Online,Credit Card,1,435.73,15,370.37,206.4,163.97
ORD0091,08-03-2023,CUST1139,Office Chair,Furniture,East,Consumer,Online,Net Banking,1,7911.35,5,7515.78,4867.03,2648.75
ORD0095,08-03-2023,CUST1064,Bookshelf,Furniture,South,Small Business,Online,Cash,7,7554.07,8,48648.21,34004.91,14643.3
ORD0539,09-03-2023,CUST1174,Office Chair,Furniture,West,Small Business,Online,Credit Card,1,8421.65,12,7411.05,5243.92,2167.13
ORD0562,09-03-2023,CUST1113,Bookshelf,Furniture,East,Consumer,Retail Store,Credit Card,3,6567.1,0,19701.3,13541.68,6159.62
ORD0423,12-03-2023,CUST1044,Notebook Pack,Office Supplies,South,Consumer,Online,UPI,7,485.03,10,3055.69,1821.07,1234.62
ORD0098,13-03-2023,CUST1028,Keyboard,Accessories,East,Corporate,Online,UPI,1,1472.28,12,1295.61,746.8,548.81
ORD0298,15-03-2023,CUST1024,Printer,Office Supplies,North,Corporate,Online,Debit Card,6,10183.77,8,56214.41,33900.78,22313.63
ORD0445,15-03-2023,CUST1141,Keyboard,Accessories,East,Consumer,Online,Credit Card,4,1464.32,5,5564.42,3463.56,2100.86
ORD0287,16-03-2023,CUST1168,Keyboard,Accessories,East,Small Business,Retail Store,UPI,1,1537.5,0,1537.5,882.2,655.3
ORD0436,20-03-2023,CUST1191,Laptop,Electronics,East,Consumer,Online,Debit Card,2,58973.57,15,100255.07,68027.95,32227.12
ORD0283,22-03-2023,CUST1089,Keyboard,Accessories,West,Consumer,Online,Credit Card,7,1445.74,2,9917.78,5689.38,4228.4
ORD0262,27-03-2023,CUST1143,Laptop,Electronics,Central,Corporate,Retail Store,Debit Card,4,51951.5,10,187025.4,139824.21,47201.19
ORD0074,29-03-2023,CUST1046,Backpack,Accessories,West,Consumer,Online,Net Banking,2,1917.25,5,3642.78,2093.98,1548.8
ORD0495,30-03-2023,CUST1240,Smartphone,Electronics,West,Corporate,Online,Credit Card,8,23293.94,12,163989.34,122953.38,41035.96
ORD0563,05-04-2023,CUST1187,Tablet,Electronics,North,Consumer,Distributor,Cash,3,17083.38,10,46125.13,30628.18,15496.95
ORD0014,07-04-2023,CUST1067,Office Chair,Furniture,North,Small Business,Distributor,Debit Card,6,9138.08,8,50442.2,35830.51,14611.69
ORD0001,08-04-2023,CUST1180,Pen Set,Office Supplies,West,Small Business,Retail Store,Debit Card,2,269.02,0,538.04,325.1,212.94
ORD0103,09-04-2023,CUST1058,Laptop,Electronics,Central,Consumer,Online,UPI,6,52726.42,10,284722.67,207270.48,77452.19
ORD0056,10-04-2023,CUST1195,Notebook Pack,Office Supplies,Central,Consumer,Online,Debit Card,2,428.27,12,753.76,465.9,287.86
ORD0463,11-04-2023,CUST1199,Pen Set,Office Supplies,North,Consumer,Online,Cash,7,247.57,15,1473.04,847.14,625.9
ORD0597,13-04-2023,CUST1225,Backpack,Accessories,Central,Corporate,Online,Credit Card,8,1844.52,8,13575.67,8465.83,5109.84
ORD0026,14-04-2023,CUST1031,Notebook Pack,Office Supplies,West,Consumer,Distributor,Net Banking,2,473.84,0,947.68,519.16,428.52
ORD0152,15-04-2023,CUST1107,Notebook Pack,Office Supplies,West,Small Business,Online,Credit Card,4,417.7,2,1637.38,975.86,661.52
ORD0396,21-04-2023,CUST1071,Notebook Pack,Office Supplies,East,Consumer,Retail Store,Credit Card,3,455.32,12,1202.04,661.86,540.18
ORD0332,26-04-2023,CUST1201,Tablet,Electronics,South,Small Business,Online,Net Banking,7,16879.16,12,103975.63,76163.98,27811.65
ORD0454,01-05-2023,CUST1131,Laptop,Electronics,West,Corporate,Online,Debit Card,7,58583.34,8,377276.71,288067.58,89209.13
ORD0122,02-05-2023,CUST1226,Tablet,Electronics,South,Consumer,Retail Store,Credit Card,8,19395.56,12,136544.74,105899.82,30644.92
ORD0402,02-05-2023,CUST1191,Headphones,Electronics,North,Small Business,Online,Credit Card,8,2579.28,8,18983.5,13183.95,5799.55
ORD0195,03-05-2023,CUST1106,Smartphone,Electronics,East,Consumer,Distributor,Credit Card,7,22953.12,5,152638.25,110611.28,42026.97
ORD0082,06-05-2023,CUST1243,Bookshelf,Furniture,West,Consumer,Retail Store,Net Banking,6,7542.73,5,42993.56,28245.02,14748.54
ORD0089,06-05-2023,CUST1134,Headphones,Electronics,East,Consumer,Online,Net Banking,6,2587.06,5,14746.24,11139.55,3606.69
ORD0168,07-05-2023,CUST1205,Desk,Furniture,West,Consumer,Distributor,Net Banking,7,12050.04,0,84350.28,61916.35,22433.93
ORD0064,11-05-2023,CUST1153,Keyboard,Accessories,North,Consumer,Online,Cash,4,1532.31,12,5393.73,3296.93,2096.8
ORD0336,11-05-2023,CUST1057,Headphones,Electronics,North,Consumer,Distributor,Credit Card,2,2519.45,0,5038.9,3462.65,1576.25
ORD0507,11-05-2023,CUST1020,Printer,Office Supplies,East,Small Business,Online,Cash,1,8763.68,2,8588.41,4747.46,3840.95
ORD0126,13-05-2023,CUST1045,Tablet,Electronics,Central,Consumer,Online,UPI,7,17751.08,10,111831.8,79872.93,31958.87
ORD0295,13-05-2023,CUST1079,Printer,Office Supplies,South,Consumer,Online,Cash,6,10259.64,0,61557.84,35448.49,26109.35
ORD0030,16-05-2023,CUST1166,Bookshelf,Furniture,Central,Consumer,Online,UPI,4,7510.3,8,27637.9,18151.62,9486.28
ORD0385,17-05-2023,CUST1124,Smartphone,Electronics,North,Corporate,Online,UPI,4,21020.82,8,77356.62,51456.94,25899.68
ORD0490,21-05-2023,CUST1075,Keyboard,Accessories,South,Corporate,Online,Net Banking,5,1463,12,6437.2,4176.68,2260.52
ORD0506,21-05-2023,CUST1006,Keyboard,Accessories,South,Corporate,Online,Cash,3,1416.85,0,4250.55,2661.62,1588.93
ORD0418,22-05-2023,CUST1025,Printer,Office Supplies,West,Small Business,Online,Credit Card,8,8805.3,8,64807.01,38919.4,25887.61
ORD0163,25-05-2023,CUST1150,Bookshelf,Furniture,North,Corporate,Retail Store,Credit Card,7,6441.2,0,45088.4,29248.65,15839.75
ORD0269,26-05-2023,CUST1107,Laptop,Electronics,East,Consumer,Online,Credit Card,6,55192.51,5,314597.31,218523.73,96073.58
ORD0185,27-05-2023,CUST1137,Desk,Furniture,South,Corporate,Distributor,UPI,4,11117.57,15,37799.74,26550.19,11249.55
ORD0441,29-05-2023,CUST1052,Keyboard,Accessories,East,Consumer,Distributor,Credit Card,1,1391.37,12,1224.41,705.92,518.49
ORD0540,29-05-2023,CUST1067,Notebook Pack,Office Supplies,Central,Consumer,Online,Cash,2,440.4,5,836.76,502.21,334.55
ORD0543,29-05-2023,CUST1151,Pen Set,Office Supplies,West,Corporate,Distributor,Credit Card,8,245.71,2,1926.37,1143.59,782.78
ORD0049,02-06-2023,CUST1053,Keyboard,Accessories,Central,Consumer,Online,UPI,4,1480.47,10,5329.69,3449.44,1880.25
ORD0017,03-06-2023,CUST1166,Printer,Office Supplies,North,Consumer,Online,Cash,7,9490.87,0,66436.09,37483.98,28952.11
ORD0517,03-06-2023,CUST1039,Office Chair,Furniture,Central,Consumer,Online,Credit Card,5,8380.74,15,35618.14,22290.19,13327.95
ORD0018,08-06-2023,CUST1146,Notebook Pack,Office Supplies,North,Corporate,Online,Credit Card,8,438.97,15,2985,1756.48,1228.52
ORD0351,13-06-2023,CUST1209,Desk,Furniture,West,Consumer,Online,Debit Card,6,11198.26,2,65845.77,44750.51,21095.26
ORD0388,13-06-2023,CUST1015,Desk,Furniture,Central,Consumer,Retail Store,Credit Card,8,12811.9,10,92245.68,63407.64,28838.04
ORD0459,15-06-2023,CUST1012,Bookshelf,Furniture,Central,Consumer,Online,Credit Card,5,6735.72,10,30310.74,19581.92,10728.82
ORD0065,18-06-2023,CUST1037,Office Chair,Furniture,Central,Corporate,Online,Credit Card,8,8389.02,0,67112.16,45447.39,21664.77
ORD0586,19-06-2023,CUST1130,Pen Set,Office Supplies,West,Corporate,Online,UPI,7,256.14,2,1757.12,996.19,760.93
ORD0393,20-06-2023,CUST1135,Keyboard,Accessories,Central,Small Business,Online,Credit Card,6,1480.39,2,8704.69,5245.28,3459.41
ORD0530,23-06-2023,CUST1131,Tablet,Electronics,East,Consumer,Distributor,Debit Card,2,17127.3,15,29116.41,19542.84,9573.57
ORD0130,29-06-2023,CUST1030,Office Chair,Furniture,East,Consumer,Online,Net Banking,1,9066.91,5,8613.56,5689.97,2923.59
ORD0219,30-06-2023,CUST1104,Office Chair,Furniture,West,Small Business,Online,Debit Card,8,8846.22,12,62277.39,39623.33,22654.06
ORD0346,01-07-2023,CUST1164,Tablet,Electronics,East,Consumer,Retail Store,Cash,8,16918.3,12,119104.83,82948.06,36156.77
ORD0497,01-07-2023,CUST1153,Printer,Office Supplies,East,Small Business,Online,Debit Card,6,9955.02,12,52562.51,32739.24,19823.27
ORD0174,02-07-2023,CUST1189,Bookshelf,Furniture,West,Consumer,Online,Cash,5,6728.31,12,29604.56,21183.68,8420.88
ORD0545,03-07-2023,CUST1006,Office Chair,Furniture,South,Corporate,Online,Credit Card,4,9075.58,8,33398.13,22853.45,10544.68
ORD0391,05-07-2023,CUST1229,Printer,Office Supplies,South,Corporate,Online,Cash,3,9643.33,10,26036.99,14395.04,11641.95
ORD0470,08-07-2023,CUST1028,Laptop,Electronics,East,Small Business,Retail Store,Cash,7,53952.28,12,332346.04,239517.5,92828.54
ORD0214,12-07-2023,CUST1170,Tablet,Electronics,Central,Consumer,Distributor,Cash,2,18905.68,5,35920.79,24767.44,11153.35
ORD0045,13-07-2023,CUST1156,Notebook Pack,Office Supplies,North,Corporate,Distributor,Credit Card,8,458.24,0,3665.92,1988.49,1677.43
ORD0523,15-07-2023,CUST1044,Headphones,Electronics,East,Corporate,Retail Store,Debit Card,7,2387.13,8,15373.12,11718.32,3654.8
ORD0477,17-07-2023,CUST1106,Pen Set,Office Supplies,Central,Consumer,Online,UPI,3,245.48,5,699.62,426.56,273.06
ORD0410,19-07-2023,CUST1204,Smartphone,Electronics,West,Consumer,Online,Debit Card,8,22786.93,0,182295.44,139003.81,43291.63
ORD0196,20-07-2023,CUST1058,Printer,Office Supplies,South,Corporate,Retail Store,UPI,4,9837.3,12,34627.3,19019.79,15607.51
ORD0127,23-07-2023,CUST1084,Tablet,Electronics,Central,Small Business,Distributor,Cash,6,18088.85,5,103106.44,71248.24,31858.2
ORD0278,24-07-2023,CUST1171,Notebook Pack,Office Supplies,South,Consumer,Online,Debit Card,2,427.06,12,751.63,448.14,303.49
ORD0568,24-07-2023,CUST1117,Desk,Furniture,East,Small Business,Online,Net Banking,1,12875.88,8,11845.81,7770.33,4075.48
ORD0218,26-07-2023,CUST1161,Tablet,Electronics,North,Consumer,Online,Cash,7,18548.36,8,119451.44,92651.33,26800.11
ORD0111,27-07-2023,CUST1132,Laptop,Electronics,North,Consumer,Distributor,Debit Card,7,55974.78,2,383986.99,278839.03,105147.96
ORD0139,27-07-2023,CUST1033,Printer,Office Supplies,East,Consumer,Online,Credit Card,3,8879.42,0,26638.26,15864.23,10774.03
ORD0191,02-08-2023,CUST1022,Office Chair,Furniture,North,Consumer,Retail Store,UPI,6,9085.73,8,50153.23,34716.55,15436.68
ORD0395,04-08-2023,CUST1228,Office Chair,Furniture,West,Consumer,Online,UPI,6,8904.28,15,45411.83,33201.2,12210.63
ORD0573,05-08-2023,CUST1044,Smartphone,Electronics,South,Consumer,Retail Store,UPI,5,21658.43,12,95297.09,68008.3,27288.79
ORD0547,08-08-2023,CUST1110,Headphones,Electronics,South,Corporate,Retail Store,Debit Card,5,2418.02,15,10276.59,7587.09,2689.5
ORD0142,10-08-2023,CUST1064,Keyboard,Accessories,East,Corporate,Distributor,Debit Card,5,1530.11,12,6732.48,4054.25,2678.23
ORD0485,11-08-2023,CUST1019,Smartphone,Electronics,West,Corporate,Online,Net Banking,4,20457.58,10,73647.29,55759.03,17888.26
ORD0575,11-08-2023,CUST1059,Smartphone,Electronics,South,Consumer,Distributor,Debit Card,1,22071.65,10,19864.49,14984.46,4880.03
ORD0250,12-08-2023,CUST1247,Office Chair,Furniture,East,Small Business,Online,Net Banking,4,9159.66,2,35905.87,26002.47,9903.4
ORD0217,17-08-2023,CUST1060,Tablet,Electronics,Central,Small Business,Online,Debit Card,2,18711.58,5,35552,25071.33,10480.67
ORD0407,19-08-2023,CUST1207,Keyboard,Accessories,North,Corporate,Distributor,Debit Card,7,1592.77,2,10926.4,6338.15,4588.25
ORD0236,21-08-2023,CUST1019,Smartphone,Electronics,North,Consumer,Online,UPI,8,20706.55,0,165652.4,125514.78,40137.62
ORD0334,21-08-2023,CUST1238,Notebook Pack,Office Supplies,Central,Consumer,Online,Cash,6,473.7,12,2501.14,1398.95,1102.19
ORD0527,22-08-2023,CUST1158,Backpack,Accessories,South,Consumer,Distributor,Credit Card,7,1778.52,5,11827.16,7871.39,3955.77
ORD0240,26-08-2023,CUST1073,Desk,Furniture,West,Small Business,Online,Net Banking,5,12104.23,2,59310.73,41117.67,18193.06
ORD0486,26-08-2023,CUST1204,Headphones,Electronics,Central,Corporate,Online,Cash,1,2370.58,0,2370.58,1584.42,786.16
ORD0378,30-08-2023,CUST1116,Pen Set,Office Supplies,Central,Corporate,Online,Net Banking,4,263.06,8,968.06,577.99,390.07
ORD0489,30-08-2023,CUST1084,Tablet,Electronics,Central,Small Business,Retail Store,Net Banking,4,17769.05,2,69654.68,47834.14,21820.54
ORD0213,03-09-2023,CUST1185,Tablet,Electronics,West,Small Business,Online,UPI,1,18522.23,12,16299.56,11157.2,5142.36
ORD0066,05-09-2023,CUST1164,Smartphone,Electronics,East,Corporate,Retail Store,Debit Card,6,21353.07,10,115306.58,86838.79,28467.79
ORD0285,05-09-2023,CUST1009,Tablet,Electronics,South,Small Business,Distributor,Cash,1,18091.65,8,16644.32,11628.38,5015.94
ORD0519,06-09-2023,CUST1121,Laptop,Electronics,East,Small Business,Distributor,Net Banking,4,51853.63,2,203266.23,150175.92,53090.31
ORD0255,08-09-2023,CUST1149,Desk,Furniture,West,Consumer,Distributor,Debit Card,6,11061.15,15,56411.86,36387.46,20024.4
ORD0362,10-09-2023,CUST1063,Office Chair,Furniture,North,Corporate,Distributor,UPI,2,8009.72,5,15218.47,10945.57,4272.9
ORD0409,10-09-2023,CUST1163,Printer,Office Supplies,Central,Consumer,Distributor,Debit Card,3,9417.97,5,26841.21,15342.98,11498.23
ORD0087,14-09-2023,CUST1153,Backpack,Accessories,East,Corporate,Retail Store,UPI,5,1771.59,0,8857.95,5839.58,3018.37
ORD0595,16-09-2023,CUST1090,Office Chair,Furniture,West,Corporate,Online,UPI,6,8392.44,12,44312.08,29721.23,14590.85
ORD0598,18-09-2023,CUST1198,Printer,Office Supplies,Central,Small Business,Online,Net Banking,6,9107.06,15,46446.01,28509.54,17936.47
ORD0177,20-09-2023,CUST1213,Desk,Furniture,South,Consumer,Retail Store,Debit Card,8,12727.23,5,96726.95,64438.43,32288.52
ORD0120,24-09-2023,CUST1051,Tablet,Electronics,North,Small Business,Distributor,Credit Card,3,17095.01,8,47182.23,34090.85,13091.38
ORD0128,26-09-2023,CUST1130,Headphones,Electronics,North,Small Business,Distributor,UPI,7,2496.24,5,16600,12008.88,4591.12
ORD0482,28-09-2023,CUST1154,Printer,Office Supplies,North,Consumer,Retail Store,Credit Card,3,10093.19,8,27857.2,16422.3,11434.9
ORD0205,30-09-2023,CUST1146,Headphones,Electronics,South,Corporate,Retail Store,UPI,2,2492.45,0,4984.9,3751.19,1233.71
ORD0498,30-09-2023,CUST1144,Bookshelf,Furniture,West,Small Business,Distributor,Credit Card,8,7088.65,8,52172.46,33588.7,18583.76
ORD0227,05-10-2023,CUST1099,Bookshelf,Furniture,West,Small Business,Distributor,UPI,1,7468,12,6571.84,4815.05,1756.79
ORD0591,06-10-2023,CUST1201,Office Chair,Furniture,East,Consumer,Online,UPI,3,8239.05,0,24717.15,17888.61,6828.54
ORD0397,07-10-2023,CUST1171,Desk,Furniture,North,Consumer,Distributor,Cash,8,12613.49,8,92835.29,64682.52,28152.77
ORD0024,08-10-2023,CUST1249,Keyboard,Accessories,Central,Consumer,Online,Credit Card,4,1594,15,5419.6,3493.81,1925.79
ORD0478,09-10-2023,CUST1101,Notebook Pack,Office Supplies,West,Consumer,Retail Store,Cash,7,466.02,10,2935.93,1815.95,1119.98
ORD0576,11-10-2023,CUST1197,Pen Set,Office Supplies,Central,Consumer,Retail Store,Debit Card,8,264.15,12,1859.62,1060.8,798.82
ORD0015,14-10-2023,CUST1181,Notebook Pack,Office Supplies,West,Consumer,Online,Debit Card,4,446.82,15,1519.19,839.17,680.02
ORD0342,15-10-2023,CUST1187,Headphones,Electronics,East,Consumer,Retail Store,Cash,6,2506.63,0,15039.78,11008.73,4031.05
ORD0515,16-10-2023,CUST1222,Tablet,Electronics,South,Consumer,Retail Store,Net Banking,4,17913.5,0,71654,47696.55,23957.45
ORD0109,18-10-2023,CUST1104,Laptop,Electronics,Central,Small Business,Retail Store,UPI,4,58496.26,0,233985.04,178722.41,55262.63
ORD0317,18-10-2023,CUST1053,Desk,Furniture,East,Consumer,Online,Credit Card,7,11327.89,5,75330.47,54274.47,21056
ORD0085,19-10-2023,CUST1191,Keyboard,Accessories,East,Consumer,Online,Net Banking,8,1406.23,0,11249.84,7170.54,4079.3
ORD0254,29-10-2023,CUST1213,Notebook Pack,Office Supplies,North,Consumer,Retail Store,Net Banking,1,425.19,0,425.19,250.82,174.37
ORD0435,30-10-2023,CUST1075,Pen Set,Office Supplies,North,Consumer,Retail Store,UPI,2,233.17,0,466.34,278.96,187.38
ORD0375,01-11-2023,CUST1052,Tablet,Electronics,West,Corporate,Online,Credit Card,8,16689.5,2,130845.68,99834.89,31010.79
ORD0502,01-11-2023,CUST1023,Laptop,Electronics,Central,Consumer,Distributor,Debit Card,3,52788.48,5,150447.17,100668.62,49778.55
ORD0284,03-11-2023,CUST1082,Headphones,Electronics,North,Consumer,Online,Net Banking,3,2335.89,5,6657.29,4429.12,2228.17
ORD0510,03-11-2023,CUST1135,Smartphone,Electronics,West,Small Business,Retail Store,Debit Card,6,20349.42,0,122096.52,91045.18,31051.34
ORD0155,04-11-2023,CUST1187,Laptop,Electronics,East,Consumer,Online,UPI,7,50906.58,12,313584.53,231281.16,82303.37
ORD0457,07-11-2023,CUST1219,Backpack,Accessories,East,Corporate,Online,Credit Card,3,1808.25,2,5316.26,3077.94,2238.32
ORD0465,07-11-2023,CUST1077,Desk,Furniture,South,Small Business,Retail Store,Cash,5,12479.48,10,56157.66,39264.97,16892.69
ORD0315,09-11-2023,CUST1073,Pen Set,Office Supplies,Central,Corporate,Distributor,Debit Card,4,263.23,2,1031.86,555.56,476.3
ORD0033,12-11-2023,CUST1073,Pen Set,Office Supplies,South,Consumer,Retail Store,Cash,7,264.71,10,1667.67,983.21,684.46
ORD0057,13-11-2023,CUST1072,Printer,Office Supplies,Central,Consumer,Online,UPI,7,9958.25,10,62736.97,34865.3,27871.67
ORD0137,14-11-2023,CUST1179,Backpack,Accessories,West,Small Business,Retail Store,Cash,7,1743.11,10,10981.59,7296.12,3685.47
ORD0105,16-11-2023,CUST1038,Headphones,Electronics,South,Consumer,Retail Store,Net Banking,8,2444.61,15,16623.35,12568.52,4054.83
ORD0019,20-11-2023,CUST1111,Laptop,Electronics,North,Consumer,Retail Store,Net Banking,1,54882.59,0,54882.59,39456.71,15425.88
ORD0054,20-11-2023,CUST1196,Keyboard,Accessories,East,Consumer,Online,Debit Card,8,1406.54,12,9902.04,6627.49,3274.55
ORD0319,20-11-2023,CUST1212,Pen Set,Office Supplies,North,Consumer,Retail Store,Net Banking,1,253.69,0,253.69,153.17,100.52
ORD0322,22-11-2023,CUST1105,Backpack,Accessories,South,Small Business,Retail Store,Net Banking,8,1810.78,8,13327.34,8245.92,5081.42
ORD0186,27-11-2023,CUST1030,Bookshelf,Furniture,Central,Consumer,Distributor,Cash,7,6507,15,38716.65,27737.24,10979.41
ORD0357,27-11-2023,CUST1196,Printer,Office Supplies,East,Consumer,Online,Debit Card,3,9501.49,10,25654.02,14813.02,10841
ORD0349,28-11-2023,CUST1095,Backpack,Accessories,Central,Consumer,Retail Store,Net Banking,1,1798.35,2,1762.38,1039.79,722.59
ORD0208,29-11-2023,CUST1125,Backpack,Accessories,South,Consumer,Retail Store,UPI,8,1841.18,5,13992.97,9185.31,4807.66
ORD0010,30-11-2023,CUST1214,Printer,Office Supplies,North,Consumer,Online,Credit Card,4,9095.59,15,30925.01,16668.9,14256.11
ORD0016,02-12-2023,CUST1180,Pen Set,Office Supplies,East,Consumer,Distributor,UPI,7,247.28,8,1592.48,942.45,650.03
ORD0080,04-12-2023,CUST1159,Smartphone,Electronics,East,Consumer,Online,UPI,6,23695.96,8,130801.7,95990.82,34810.88
ORD0488,05-12-2023,CUST1105,Bookshelf,Furniture,South,Consumer,Online,Debit Card,2,7425,15,12622.5,7975.31,4647.19
ORD0400,06-12-2023,CUST1053,Backpack,Accessories,East,Corporate,Online,Net Banking,6,1938.02,0,11628.12,6745.82,4882.3
ORD0036,07-12-2023,CUST1039,Keyboard,Accessories,North,Small Business,Online,UPI,3,1407.72,10,3800.84,2175.97,1624.87
ORD0508,09-12-2023,CUST1158,Bookshelf,Furniture,North,Consumer,Online,Debit Card,6,7487.97,12,39536.48,28167.4,11369.08
ORD0549,11-12-2023,CUST1089,Headphones,Electronics,West,Small Business,Retail Store,Net Banking,3,2407.15,12,6354.88,4641.04,1713.84
ORD0582,11-12-2023,CUST1165,Notebook Pack,Office Supplies,East,Corporate,Online,Cash,5,484.47,15,2059,1240.98,818.02
ORD0106,15-12-2023,CUST1080,Bookshelf,Furniture,West,Corporate,Online,Debit Card,4,6527.48,10,23498.93,14777.21,8721.72
ORD0118,16-12-2023,CUST1234,Office Chair,Furniture,West,Corporate,Online,UPI,5,8455.99,10,38051.95,24619.82,13432.13
ORD0271,21-12-2023,CUST1190,Office Chair,Furniture,West,Consumer,Retail Store,Net Banking,2,7849.69,10,14129.44,9631.28,4498.16
ORD0343,21-12-2023,CUST1161,Office Chair,Furniture,East,Consumer,Retail Store,UPI,1,7841.49,15,6665.27,4574.14,2091.13
ORD0313,23-12-2023,CUST1177,Tablet,Electronics,West,Corporate,Online,UPI,1,16751.23,12,14741.08,11229.25,3511.83
ORD0297,24-12-2023,CUST1154,Office Chair,Furniture,West,Consumer,Online,Debit Card,5,8164.5,15,34699.12,24370.36,10328.76
ORD0596,25-12-2023,CUST1165,Tablet,Electronics,Central,Consumer,Online,Debit Card,2,19416.66,5,36891.65,25437.78,11453.87
ORD0044,26-12-2023,CUST1134,Desk,Furniture,East,Small Business,Retail Store,Credit Card,7,12255.2,8,78923.49,51848.89,27074.6
ORD0331,29-12-2023,CUST1237,Laptop,Electronics,West,Consumer,Online,UPI,8,55045.35,15,374308.38,258068.26,116240.12
